000029,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,39
000030,01.12.2018 - 28.02.2019,Новые пользователи,50
000030,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,18
000030,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,47
000031,01.12.2018 - 28.02.2019,Новые пользователи,56
000031,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,25
000031,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,46
000032,01.12.2018 - 28.02.2019,Новые пользователи,59
000032,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,33
000032,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,45
000033,01.12.2018 - 28.02.2019,Новые пользователи,61
000033,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,32
000033,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,58
000034,01.12.2018 - 28.02.2019,Новые пользователи,79
000034,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,43
000034,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,68
000035,01.12.2018 - 28.02.2019,Новые пользователи,70
000035,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,43
000035,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,65
000036,01.12.2018 - 28.02.2019,Новые пользователи,73
000036,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,35
000036,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,76
000037,01.12.2018 - 28.02.2019,Новые пользователи,59
000037,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,30
000037,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,52
000038,01.12.2018 - 28.02.2019,Новые пользователи,64
000038,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,37
000038,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,61
000039,01.12.2018 - 28.02.2019,Новые пользователи,55
000039,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,36
000039,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,45
000040,01.12.2018 - 28.02.2019,Новые пользователи,65
000040,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,33
000040,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,66
000041,01.12.2018 - 28.02.2019,Новые пользователи,61
000041,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,33
000041,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,61
000042,01.12.2018 - 28.02.2019,Новые пользователи,55
000042,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,16
000042,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,73
000043,01.12.2018 - 28.02.2019,Новые пользователи,63
000043,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,29
000043,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,76
000044,01.12.2018 - 28.02.2019,Новые пользователи,63
000044,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,32
000044,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,66
000045,01.12.2018 - 28.02.2019,Новые пользователи,66
000045,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,27
000045,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,74
000046,01.12.2018 - 28.02.2019,Новые пользователи,69
000046,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,19
000046,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,80
000047,01.12.2018 - 28.02.2019,Новые пользователи,50
000047,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,25
000047,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,48
000048,01.12.2018 - 28.02.2019,Новые пользователи,59
000048,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,9
000048,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,75
000049,01.12.2018 - 28.02.2019,Новые пользователи,71
000049,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,17
000049,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,77
000050,01.12.2018 - 28.02.2019,Новые пользователи,76
000050,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,14
000050,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,105
000051,01.12.2018 - 28.02.2019,Новые пользователи,51
000051,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,17
000051,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,61
000052,01.12.2018 - 28.02.2019,Новые пользователи,74
000052,01.12.2018 - 28.02.2019,Трафик с мобильных устройств,25
000052,01.12.2018 - 28.02.2019,Трафик планшетных и обычных ПК,85
000053,01.12.2018 - 28.02.2019,Новые пользователи,63
